序列号	名称	描述	下一级的id	第几形态	造价	卖掉价(造价的80%且累加)	塔类型 1速射 2电磁 3冷冻 4导弹	最小攻击力	最大攻击了	攻击速度	攻击范围	攻击类型：1普通2电磁3混乱	暴击几率	可空地	可连锁	可减速	减去百分比速度	溅射范围	溅射全额受伤范围
id	name	desc	nextId	level	productiCost	sellCost	builderType	battlePowerMin	battlePowerMax	battleSpeed	battleArea	battleType	crazyHitRate	canFireFly	fireLink	canSlow	slowRate	sputterArea	sputterFullDamageArea
1	初级速射塔	初级的防御塔，普通攻击，只能攻击地面单位，拥有不错的射速。	2	1	70	56	1	4	6	1.2	115	1	0	0	0	0	0	0	0
2	中级速射塔	中级速射塔，普通攻击，只能攻击地面单位，射速和攻击力都有加强。	3	2	150	176	1	13	17	1.5	130	1	0	0	0	0	0	0	0
3	高级速射塔	速射塔高级形态，普通攻击，只能攻击地面单位，攻击力大幅提升。	4	3	220	352	1	45	55	1.8	145	1	0	0	0	0	0	0	0
4	火神炮塔	这速射塔的终极形态，超大的攻击范围，最快的攻击速度，拥有暴击属性，最强的单体攻击能力。	0	4	350	632	1	69	88	2	160	1	20	0	0	0	0	0	0
5	初级电磁塔	初级电磁塔，电磁攻击，可攻击所有单位。	6	1	90	80	2	14	16	0.7	120	2	0	1	0	0	0	0	0
6	中级电磁塔	中级电磁塔，电磁攻击，对飞行单位尤其有效。	7	2	160	200	2	35	46	0.7	130	2	0	1	0	0	0	0	0
7	高级电磁塔	高级的电磁塔，连锁攻击可同时攻击多个单位。	8	3	290	376	2	118	139	0.7	140	2	0	1	1	0	0	0	0
8	超电磁矩阵	电磁塔终极形态，超强的攻击力配合连锁闪电，让它可以完全无视敌人的任何举动。	0	4	400	632	2	210	225	0.7	150	2	0	1	1	0	0	0	0
9	初级冷冻塔	初级冷冻塔，可攻击所有单位，能稍微减弱单个敌人的行进速度。	10	1	70	56	3	1	2	1	130	1	0	1	0	1	10	0	0
10	中级冷冻塔	中级冷冻塔，减速能力获得加强。	11	2	120	152	3	5	8	1	140	1	0	1	0	1	20	0	0
11	高级冷冻塔	高级冷冻塔，拥有对一个范围内敌人进行减速的能力。	12	3	180	296	3	18	22	1	150	1	0	1	0	1	30	30	20
12	霜寒射线塔	冷冻塔终极形态，强大的范围减速能力，让敌人寸步难行。	0	4	240	488	3	46	56	1	160	1	0	1	0	1	40	30	20
13	初级导弹塔	初级导弹塔，攻击力不俗，且能对范围内敌人造成伤害。	14	1	125	100	4	10	12	0.8	120	1	0	0	0	0	0	40	25
14	中级导弹塔	中级导弹塔，攻击力获得一个不错的提升。	15	2	150	252	4	26	35	0.8	120	1	0	0	0	0	0	40	25
15	高级导弹塔	高级导弹塔，强大的攻击力，对范围内敌人造成显著伤害。	16	3	230	452	4	80	100	0.8	135	1	0	0	0	0	0	40	25
16	狱雷导弹架	导弹塔终极形态，在它面前，数量都是浮云。	0	4	360	756	4	155	188	0.8	135	1	0	0	0	0	0	40	25
