技能id	上一级ID	下一级ID	升级需要的点数	技能类别 1速射 2电磁 3冷冻 4导弹 5粒子 6魔晶	技能等级	技能名	技能描述	建设升级费用减少百分比	攻击范围增加	忽略普通护甲的几率	增加的攻击力	加快攻击速度	连锁次数	增加的溅射范围	封住敌人的几率	溅射是否对空有效	溅射是否被削弱	是否发射2次	冷却时间减少	伤害增加	随机发射一次粒子	造成双倍伤害的几率	
id	preID	nextID	upgradeCount	skillType	skillLevel	name	desc	upgrateCostDecRate	battleAreaInc	ignoreArmorRate	battlePowerInc	battleSpeedInc	battleLink	sputterAreaInc	forbitMovRate	canSputterAir	isSputterdec	doubleSend	cooldowndec	hurtInc	battleTimeInc	douleHurtRate	
1	0	2	1	1	1	建筑学	速射塔的建造、升级成本降低10%。	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
2	1	3	2	1	2	瞄准镜	加大速射塔的攻击范围。	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	
3	2	4	2	1	3	超强火力	速射塔有一定几率无视普通护甲。	0	0	50	0	0	0	0	0	0	1	0	0	0	0	0	
4	3	0	3	1	4	雷达扫描	加大速射塔的攻击范围。	0	40	0	0	0	0	0	0	0	1	0	0	0	0	0	
5	0	6	1	2	1	功率加强	电磁塔的攻击力+10。	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	
6	5	7	2	2	2	核电力	电磁塔的建造、升级成本降低10%。	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
7	6	8	2	2	3	额外磁场	加大电磁塔的攻击范围。	0	20	0	0	0	0	0	0	0	1	0	0	0	0	0	
8	7	0	3	2	4	连锁闪电	电磁塔攻击的连锁次数+2。	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
9	0	10	1	3	1	霜寒领域	增加冷冻塔的攻击范围。	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	
10	9	11	2	3	2	急速射线	增加冷冻塔的攻击速度。	0	0	0	0	0.3	0	0	0	0	1	0	0	0	0	0	
11	10	12	2	3	3	寒意四射	增加霜寒射线塔的溅射范围。	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	
12	11	0	3	3	4	寒冰气息	有一定几率冻住攻击目标。	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	
13	0	14	1	4	1	高质弹药	导弹塔的攻击力+10。	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	
14	13	15	2	4	2	军火交易	导弹塔的建造、升级成本降低10%。	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
15	14	16	3	4	3	强力冲击	导弹塔的溅射攻击可以对空中单位造成伤害	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
16	15	0	3	4	4	集束导弹	使导弹塔的溅射攻击不被削弱。	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	18	2	5	1	双重攻击	对目标地点快速的发射两次粒子光线。	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
18	17	19	2	5	2	快速聚能	粒子光线的冷却时间减少5秒。	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	
19	18	20	2	5	3	粒子加强	加强粒子光线的伤害。	0	0	0	0	0	0	0	0	0	1	0	0	30	0	0	
20	19	0	3	5	4	超负荷	对地图上随机位置额外发射一次粒子射线。	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
21	0	22	1	6	1	伤害加深	加深魔晶射线所造成的伤害。	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	
22	21	23	2	6	2	后备魔晶	魔晶射线的冷却时间减少10秒。	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	
23	22	24	2	6	3	纯化魔晶	加深魔晶射线所造成的伤害。	0	0	0	0	0	0	0	0	0	1	0	0	30	0	0	
24	23	0	3	6	4	致命伤害	50%的概率造成双倍伤害。	0	0	0	0	0	0	0	0	0	1	0	0	0	0	50	
											 	 	 	 	 		 	 	 	 	 	 	 
